评分,内容,版本,时间,情绪指数,问题类别,风险标签
3,一般般，没有惊喜,1.8.0,2026-07-09,27,内容,中风险
5,社区氛围好，互动很积极,2.1.0,2026-07-04,77,电商,低风险
2,广告越来越多，推荐质量下降,1.9.0,2026-07-05,23,功能,低风险
2,更新后经常闪退，体验很差,2.0.0,2026-07-22,0,账号,高风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-03,70,搜索,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-14,56,其他,低风险
4,社区氛围好，互动很积极,1.9.0,2026-06-23,76,搜索,中风险
1,笔记被限流，流量骤降,2.1.0,2026-06-30,16,广告,高风险
4,界面简洁，用起来很顺手,1.8.0,2026-06-14,78,搜索,低风险
1,更新后经常闪退，体验很差,1.9.0,2026-07-03,15,客服,高风险
5,购物链路顺畅，下单方便,2.0.0,2026-07-16,69,电商,中风险
5,直播体验不错，带货实在,1.9.0,2026-06-18,61,社区,低风险
3,用了一阵子，感觉普通,1.9.0,2026-06-24,45,功能,中风险
3,用了一阵子，感觉普通,1.8.0,2026-06-19,53,其他,低风险
5,笔记质量高，信息量很大,2.0.0,2026-06-23,100,社区,中风险
1,隐私设置形同虚设,1.9.0,2026-06-12,10,功能,高风险
4,推荐算法不错，经常有好物,1.8.0,2026-07-14,63,内容,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-19,58,其他,低风险
5,内容丰富，种草体验很好,1.8.0,2026-06-16,90,内容,低风险
5,直播体验不错，带货实在,1.8.0,2026-07-13,88,电商,低风险
5,视频流畅，加载很快,2.1.0,2026-07-26,96,搜索,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-15,69,搜索,低风险
3,功能还行，中规中矩,2.0.0,2026-06-17,33,功能,低风险
4,社区氛围好，互动很积极,2.1.0,2026-07-17,69,电商,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-27,80,功能,低风险
2,账号莫名被禁言，没有任何通知,2.1.0,2026-06-01,6,广告,高风险
3,功能还行，中规中矩,2.0.0,2026-07-02,41,内容,中风险
2,客服完全联系不上，太失望了,2.1.0,2026-07-25,21,功能,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-24,40,内容,低风险
4,直播体验不错，带货实在,1.9.0,2026-06-22,91,电商,中风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-12,28,内容,中风险
4,攻略很实用，收藏了很多,1.8.0,2026-06-07,70,搜索,低风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-07-07,24,内容,低风险
2,隐私设置形同虚设,1.9.0,2026-06-11,3,功能,高风险
5,笔记质量高，信息量很大,2.1.0,2026-06-15,98,功能,低风险
5,界面简洁，用起来很顺手,1.9.0,2026-06-01,100,社区,中风险
5,内容丰富，种草体验很好,1.9.0,2026-07-23,66,社区,低风险
2,更新后经常闪退，体验很差,1.8.0,2026-06-27,15,功能,高风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-15,66,内容,中风险
5,视频流畅，加载很快,2.0.0,2026-07-21,83,内容,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-13,67,内容,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-04,71,电商,中风险
5,直播体验不错，带货实在,1.8.0,2026-07-13,70,内容,低风险
5,视频流畅，加载很快,1.9.0,2026-06-14,65,社区,中风险
4,直播体验不错，带货实在,2.1.0,2026-07-21,65,功能,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-07-22,74,电商,中风险
2,搜索功能越来越难用,2.0.0,2026-07-15,6,广告,高风险
5,内容丰富，种草体验很好,1.9.0,2026-07-13,75,社区,中风险
5,内容丰富，种草体验很好,1.8.0,2026-07-22,93,社区,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-06-23,90,内容,低风险
4,视频流畅，加载很快,1.9.0,2026-07-01,63,功能,低风险
3,用了一阵子，感觉普通,2.0.0,2026-07-15,54,功能,低风险
3,用了一阵子，感觉普通,1.9.0,2026-06-28,37,内容,低风险
3,用了一阵子，感觉普通,1.8.0,2026-07-28,54,内容,中风险
2,账号莫名被禁言，没有任何通知,2.1.0,2026-06-26,15,账号,高风险
5,搜索准确，找东西方便多了,2.1.0,2026-07-11,93,社区,中风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-12,83,电商,中风险
3,功能还行，中规中矩,2.0.0,2026-07-17,32,内容,低风险
2,笔记被限流，流量骤降,2.0.0,2026-06-12,20,功能,低风险
1,客服完全联系不上，太失望了,1.8.0,2026-07-18,1,客服,高风险
4,笔记质量高，信息量很大,2.1.0,2026-06-13,73,功能,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-09,66,功能,中风险
1,客服完全联系不上，太失望了,2.0.0,2026-07-21,8,账号,高风险
4,内容丰富，种草体验很好,1.9.0,2026-07-12,65,搜索,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-07-29,72,社区,低风险
5,视频流畅，加载很快,1.8.0,2026-06-14,75,内容,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-16,71,功能,低风险
3,一般般，没有惊喜,1.9.0,2026-07-21,38,内容,低风险
4,直播体验不错，带货实在,2.1.0,2026-07-11,75,电商,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-19,65,内容,中风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-15,73,功能,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-21,59,内容,中风险
5,购物链路顺畅，下单方便,1.9.0,2026-07-07,75,功能,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-06-20,72,社区,低风险
4,购物链路顺畅，下单方便,1.9.0,2026-07-23,89,搜索,低风险
4,笔记质量高，信息量很大,2.0.0,2026-07-16,69,功能,低风险
5,内容丰富，种草体验很好,1.8.0,2026-06-14,74,社区,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-19,42,其他,中风险
5,社区氛围好，互动很积极,1.9.0,2026-07-21,90,内容,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-01,99,搜索,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-25,83,电商,低风险
4,直播体验不错，带货实在,1.9.0,2026-07-08,84,搜索,中风险
